tag1,tag2,tag3
la, DA O, O
linea, NC O, O
numero, NC O, O
tres, DN O, O
millones, NC O, O
de, SP O, O
la, DA O, O
gestion, NC O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
0, Fp , O
,,
Tambien, RG O, O
participaron, VMI O, O
en, SP O, O
el, DA O, O
acto, NC O, O
el, DA O, O
consejero, NC O, O
delegado, AQ O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
Internacional, AQ I-ORG, I-ORG
-, Fc , O
Antonio, AQ B-PER, B-PER
Viana, NC I-PE, I-PER
Baptista, AQ I-PER, I-PER
-, Fx , O
el, DA O, O
ministro, NC O, O
de, SP O, O
Comunicaciones, NC B-MISC, B-MISC
de, SP I, I-MISC
Brasil, NC I-MIS, I-MISC
-, Fc , O
Joao, AQ B-P, B-PER
Pimienta, NC I-PER, I-PER
da, VMI I, I-PER
Veiga, AQ I-PE, I-PER
-, Fx , O
el, DA O, O
presidente, NC O, O
de, SP O, O
la, DA O, O
ANATEL, NC B-ORG, B-ORG
-, Fc , O
Renato, VMI B-PER, B-PER
Navarro, AQ I-PER, I-PER
Guerreiro, AQ I-PER, I-PER
-, Fc , O
y, CC , O
el, DA O, O
secretario, NC O, O
de, SP O, O
Ciencia., VMN B-MISC, B-MISC
Tecnologia, NC I-MISC, I-MISC
del, SP I-, I-MISC
Estado, NC I-MIS, I-MISC
de, SP I, I-MISC
Sao, NC I-, I-MISC
Paulo, VMI I-MI, I-MISC
-, Fc , O
Jose, VMI B-P, B-PER
Anibal, AQ I-PER, I-PER
Peres, NC I-PE, I-PER
de, SP I, I-PER
Pontes, NC I-PER, I-PER
0, Fp , O
,,
Con, SP O, O
los, DA O, O
tres, DN O, O
millones, NC O, O
de, SP O, O
nuevas, AQ O, O
lineas, NC O, O
fijas, AQ O, O
en, SP O, O
servicio, NC O, O
asciende, VMI O, O
a, SP , O
diez, DN O, O
millones, NC O, O
el, DA O, O
total, AQ O, O
de, SP O, O
terminales, NC O, O
que, PR O, O
tiene, VMI O, O
Telefonica, AQ B-ORG, B-ORG
en, SP O, O
el, DA O, O
estado, NC O, O
de, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
-, Fc , O
lo, DA O, O
que, PR O, O
convierte, VMI O, O
a, SP , O
esta, DD O, O
region, NC O, O
brasile�a, AQ O, O
en, SP O, O
el, DA O, O
area, NC O, O
con, SP O, O
mayor, AQ O, O
densidad, NC O, O
telefonica, AQ O, O
por, SP O, O
habitante, NC O, O
de, SP O, O
America, NC B-LOC, B-LOC
Latina, AQ I-LOC, I-LOC
-, Fc , O
con, SP O, O
25-6, Z O, O
lineas, NC O, O
en, SP O, O
funcionamiento, NC O, O
por, SP O, O
cada, DI O, O
cien, DN O, O
personas, NC O, O
0, Fp , O
,,
Segun, SP O, O
los, DA O, O
datos, NC O, O
difundidos, AQ O, O
hoy, RG O, O
por, SP O, O
Telefonica, AQ B-ORG, B-ORG
-, Fc , O
la, DA O, O
empresa, NC O, O
ha, VAI O, O
impuesto, VMP O, O
en, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
una, DI O, O
marca, NC O, O
mundial, AQ O, O
en, SP O, O
la, DA O, O
expansion, NC O, O
de, SP O, O
redes, NC O, O
de, SP O, O
telefonia, NC O, O
fija, AQ O, O
-, Fc , O
ya, RG O, O
que, PR O, O
instala, VMI O, O
una, DI O, O
linea, NC O, O
cada, DI O, O
15, Z O, O
segundos, NC O, O
-, Fc , O
lo, DA O, O
que, PR O, O
da, VMI O, O
una, DI O, O
media, AQ O, O
de, SP O, O
180, Z O, O
nuevas, AQ O, O
terminales, NC O, O
mensuales, AQ O, O
0, Fp , O
,,
-, Fe , O
La, DA O, O
empresa, NC O, O
que, PR O, O
ha, VAI O, O
instalado, VMP O, O
nuevas, AQ O, O
lineas, NC O, O
a, SP , O
un, DI O, O
ritmo, NC O, O
mas, RG O, O
rapido, AQ O, O
en, SP O, O
el, DA O, O
mundo, NC O, O
es, VSI O, O
Telefonica, AQ B-ORG, B-ORG
-, Fc , O
en, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
-, Fc , O
y, CC , O
por, SP O, O
eso, PD O, O
creemos, VMI O, O
que, CS O, O
a, SP , O
fines, NC O, O
de, SP O, O
2001, Z O, O
cumpliremos, VMI O, O
las, DA O, O
metas, NC O, O
previstas, AQ O, O
para, SP O, O
el, DA O, O
2003, Z O, O
-, Fe , O
-, Fc , O
dijo, VMI O, O
a, SP , O
EFE, NC B-, B-ORG
Viana, AQ B-PE, B-PER
Baptista, AQ I-PER, I-PER
0, Fp , O
,,
El, DA O, O
objetivo, NC O, O
de, SP O, O
la, DA O, O
empresa, NC O, O
es, VSI O, O
instalar, VMN O, O
hasta, SP O, O
diciembre, NC O, O
del, SP O, O
2001, Z O, O
otros, DI O, O
tres, DN O, O
millones, NC O, O
de, SP O, O
nuevas, AQ O, O
lineas, NC O, O
en, SP O, O
el, DA O, O
estado, NC O, O
de, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
para, SP O, O
acabar, VMN O, O
con, SP O, O
la, DA O, O
lista, AQ O, O
de, SP O, O
clientes, NC O, O
en, SP O, O
espera, NC O, O
-, Fc , O
que, PR O, O
llego, VMI O, O
a, SP , O
tener, VMN O, O
seis, DN O, O
millones, NC O, O
de, SP O, O
personas, NC O, O
registradas, AQ O, O
antes, RG O, O
de, SP O, O
la, DA O, O
entrada, NC O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
0, Fp , O
,,
El, DA O, O
consejero, NC O, O
delegado, AQ O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
Internacional, AQ I-ORG, I-ORG
agrego, VMI O, O
que, CS O, O
-, Fc , O
como, CS O, O
la, DA O, O
multinacional, NC O, O
espa�ola, AQ O, O
esta, VMI O, O
cumpliendo, VMG O, O
con, SP O, O
anticipacion, NC O, O
todas, DI O, O
las, DA O, O
metas, NC O, O
fijadas, AQ O, O
por, SP O, O
la, DA O, O
ANATEL, NC B-ORG, B-ORG
-, Fc , O
los, DA O, O
directivos, NC O, O
de, SP O, O
la, DA O, O
compa�ia, NC O, O
ya, RG O, O
estan, VMI O, O
pensando, VMG O, O
en, SP O, O
actuar, VMN O, O
a, SP , O
nivel, NC O, O
nacional, AQ O, O
a, SP , O
partir, VMN O, O
de, SP O, O
enero, NC O, O
de, SP O, O
2002, Z O, O
-, Fc , O
cuando, CS O, O
sera, VSI O, O
liberado, VMP O, O
el, DA O, O
sector, NC O, O
de, SP O, O
las, DA O, O
telecomunicaciones, NC O, O
en, SP O, O
Brasil, NC B-LOC, B-LOC
0, Fp , O
,,
Telefonica, AQ B-ORG, B-ORG
es, VSI O, O
la, DA O, O
mayor, AQ O, O
operadora, NC O, O
de, SP O, O
telefonia, NC O, O
de, SP O, O
Brasil, NC B-LOC, B-LOC
-, Fc , O
ya, RG O, O
que, CS O, O
ademas, RG O, O
de, SP O, O
Telesp, NC B-ORG, B-ORG
-, Fc , O
de, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
-, Fc , O
tiene, VMI O, O
el, DA O, O
control, NC O, O
accionarial, AQ O, O
de, SP O, O
Tele, NC B-O, B-ORG
Sudeste, NC I-ORG, I-ORG
Celular, AQ I-ORG, I-ORG
-, Fc , O
que, PR O, O
opera, VMI O, O
la, DA O, O
telefonia, NC O, O
movil, AQ O, O
en, SP O, O
los, DA O, O
estados, NC O, O
de, SP O, O
Rio, NC B-, B-LOC
de, SP I, I-LOC
Janeiro, NC I-LOC, I-LOC
y, CC , O
Espiritu, NC B-LOC, B-LOC
Santo, AQ I-LO, I-LOC
-, Fc , O
y, CC , O
de, SP O, O
la, DA O, O
Compa�ia, NC B-ORG, B-ORG
Riograndense, AQ I-ORG, I-ORG
de, SP I, I-ORG
Telecomunicaciones, NC I-ORG, I-ORG
(, Fpa , O
CRT, NP B-, B-ORG
), Fpt , O
-, Fc , O
de, SP O, O
Rio, NC B-, B-LOC
Grande, AQ I-LOC, I-LOC
do, NC I, I-LOC
Sul, AQ I-, I-LOC
-, Fc , O
cuya, PR O, O
venta, NC O, O
para, SP O, O
el, DA O, O
grupo, NC O, O
Brasil, NC B-ORG, B-ORG
Telecom, AQ I-ORG, I-ORG
se, P0 O, O
definira, VMI O, O
el, DA O, O
mes, NC O, O
proximo, AQ O, O
0, Fp , O
,,
La, DA O, O
empresa, NC O, O
tambien, RG O, O
tiene, VMI O, O
participacion, NC O, O
en, SP O, O
Tele, NC B-O, B-ORG
Leste, NC I-OR, I-ORG
Celular, AQ I-ORG, I-ORG
-, Fc , O
operadora, NC O, O
movil, AQ O, O
de, SP O, O
los, DA O, O
estados, NC O, O
de, SP O, O
Bahia, NC B-LO, B-LOC
y, CC , O
Sergipe, NC B-LOC, B-LOC
y, CC , O
que, PR O, O
es, VSI O, O
controlada, VMP O, O
por, SP O, O
la, DA O, O
espa�ola, AQ O, O
Iberdrola, NC B-ORG, B-ORG
-, Fc , O
y, CC , O
ademas, RG O, O
es, VSI O, O
socia, NC O, O
de, SP O, O
Portugal, NC B-ORG, B-ORG
Telecom, NC I-ORG, I-ORG
en, SP O, O
Telesp, NC B-ORG, B-ORG
Celular, AQ I-ORG, I-ORG
-, Fc , O
la, DA O, O
operadora, NC O, O
movil, AQ O, O
de, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
0, Fp , O
,,
-, Fe , O
Estamos, VMI O, O
satisfechos, AQ O, O
con, SP O, O
el, DA O, O
trabajo, NC O, O
hecho, AQ O, O
y, CC , O
por, SP O, O
eso, PD O, O
pensamos, VMI O, O
en, SP O, O
comprar, VMN O, O
el, DA O, O
cien, NC O, O
por, SP O, O
ciento, PN O, O
de, SP O, O
las, DA O, O
acciones, NC O, O
de, SP O, O
las, DA O, O
empresas, NC O, O
controladas, VMP O, O
-, Fc , O
ya, RG O, O
que, PR O, O
creemos, VMI O, O
en, SP O, O
el, DA O, O
potencial, NC O, O
que, PR O, O
tiene, VMI O, O
Brasil, NC B-LOC, B-LOC
y, CC , O
-, Fc , O
en, SP O, O
particular, NC O, O
-, Fc , O
el, DA O, O
sector, NC O, O
de, SP O, O
telecomunicaciones, NC O, O
-, Fe , O
-, Fc , O
a�adio, VMI O, O
Viana, NC B-PE, B-PER
Baptista, AQ I-PER, I-PER
0, Fp , O
,,
Esa, DD O, O
operacion, NC O, O
de, SP O, O
compra, NC O, O
se, P0 O, O
hara, VMI O, O
mediante, SP O, O
el, DA O, O
lanzamiento, NC O, O
de, SP O, O
una, DI O, O
Oferta, NC B-MIS, B-MISC
Publica, AQ I-MISC, I-MISC
de, SP I, I-MISC
Acciones, NC I-MISC, I-MISC
(, Fpa , O
OPA, AQ B-, B-MISC
), Fpt , O
-, Fc , O
que, PR O, O
ademas, RG O, O
de, SP O, O
Telesp, NC B-ORG, B-ORG
y, CC , O
de, SP O, O
Tele, NC B-O, B-ORG
Sudeste, NC I-ORG, I-ORG
Celular, AQ I-ORG, I-ORG
-, Fc , O
incluye, VMI O, O
a, SP , O
las, DA O, O
filiales, NC O, O
del, SP O, O
grupo, NC O, O
espa�ol, AQ O, O
en, SP O, O
Argentina, NC B-LOC, B-LOC
y, CC , O
Peru, NC B-L, B-LOC
0, Fp , O
,,
Segun, SP O, O
Viana, NC B-PE, B-PER
Baptista, AQ I-PER, I-PER
-, Fc , O
Telefonica, AQ B-ORG, B-ORG
ya, RG O, O
obtuvo, VMI O, O
la, DA O, O
autorizacion, NC O, O
de, SP O, O
los, DA O, O
organos, NC O, O
reguladores, AQ O, O
de, SP O, O
Argentina, NC B-LOC, B-LOC
-, Fc , O
Peru, NC B-L, B-LOC
-, Fc , O
y, CC , O
de, SP O, O
la, DA O, O
bolsa, NC O, O
de, SP O, O
Nueva, AQ B-LO, B-LOC
York, NC I-L, I-LOC
-, Fc , O
donde, PR O, O
se, P0 O, O
negociaran, VMI O, O
las, DA O, O
acciones, NC O, O
de, SP O, O
las, DA O, O
cuatro, DN O, O
empresas, NC O, O
como, CS O, O
American, VMI B-ORG, B-ORG
Depositary, AQ I-ORG, I-ORG
Receipts, AQ I-ORG, I-ORG
(, Fpa , O
ADR's, NP B-OR, B-ORG
), Fpt , O
0, Fp , O
,,
Solo, RG O, O
falta, VMI O, O
el, DA O, O
visto, VMP O, O
bueno, I O, O
de, SP O, O
las, DA O, O
autoridades, NC O, O
brasile�as, AQ O, O
para, SP O, O
hacer, VMN O, O
efectiva, AQ O, O
la, DA O, O
operacion, NC O, O
de, SP O, O
compra, NC O, O
en, SP O, O
junio, NC O, O
proximo, AQ O, O
0, Fp , O
,,
-, Fe , O
Hoy, RG O, O
tendremos, VMI O, O
una, DI O, O
reunion, NC O, O
con, SP O, O
la, DA O, O
Comision, NC B-ORG, B-ORG
de, SP I, I-ORG
Valores, NC I-ORG, I-ORG
Mobiliarios, AQ I-ORG, I-ORG
(, Fpa , O
CVM, NP B-, B-ORG
), Fpt , O
y, CC , O
-, Fc , O
si, CS O, O
conseguimos, VMI O, O
esa, DD O, O
aprobacion, NC O, O
-, Fc , O
lanzaremos, VMI O, O
las, DA O, O
OPAS, NC B-M, B-MISC
de, SP O, O
forma, NC O, O
simultanea, AQ O, O
en, SP O, O
Argentina, NC B-LOC, B-LOC
-, Fc , O
Brasil, NC B-LOC, B-LOC
-, Fc , O
Peru, NC B-L, B-LOC
y, CC , O
Estados, NC B-LOC, B-LOC
Unidos, AQ I-LOC, I-LOC
-, Fe , O
-, Fc , O
afirmo, VMI O, O
0, Fp , O
,,
Por, SP O, O
Juan, NC B-P, B-PER
Miguel, NC I-PER, I-PER
Nu�ez, AQ I-PE, I-PER
Madrid, NC B-LOC, B-LOC
-, Fc , O
23, Z O, O
may, NC O, O
(, Fpa , O
EFE, NC B-, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
novillero, NC O, O
salmantino, AQ O, O
Javier, NC B-PER, B-PER
Casta�o, AQ I-PER, I-PER
conoce, VMI O, O
desde, SP O, O
hoy, RG O, O
la, DA O, O
gloria, NC O, O
del, SP O, O
toreo, NC O, O
-, Fc , O
de, SP O, O
la, DA O, O
salida, NC O, O
a, SP , O
hombros, NC O, O
por, SP O, O
la, DA O, O
Puerta, NC B-MIS, B-MISC
Grande, AQ I-MIS, I-MISC
de, SP I, I-MISC
Las, DA I-, I-MISC
Ventas, NC I-MIS, I-MISC
-, Fc , O
reconocimiento, NC O, O
a, SP , O
una, DI O, O
emocionantisima, AQ O, O
actuacion, NC O, O
-, Fc , O
de, SP O, O
tan, RG O, O
buena, AQ O, O
compostura, NC O, O
como, CS O, O
valor, NC O, O
0, Fp , O
,,
FICHA, VMM O, O
DEL, SP O, O
FESTEJO, NC O, O
0, Fp , O
,,
-, Fg , O
,,
Novillos, NC O, O
de, SP O, O
-, Fe , B-MISC
El, DA I, I-MISC
Torreon, NC I-MISC, I-MISC
-, Fe , I-MISC
-, Fc , O
bien, RG O, O
presentados, AQ O, O
y, CC , O
de, SP O, O
buen, AQ O, O
juego, NC O, O
0, Fp , O
,,
Los, DA O, O
seis, PN O, O
-, Fc , O
nobles, AQ O, O
-, Fc , O
con, SP O, O
fijeza, NC O, O
y, CC , O
movilidad, NC O, O
-, Fc , O
aplaudidos, AQ O, O
en, SP O, O
el, DA O, O
arrastre, NC O, O
0, Fp , O
,,
Victor, NC B-PER, B-PER
de, SP I, I-PER
la, DA I, I-PER
Serna, NC I-PE, I-PER
:, Fd , O
pinchazo, NC O, O
-, Fc , O
estocada, NC O, O
y, CC , O
tres, DN O, O
descabellos, NC O, O
(, Fpa , O
silencio, NC O, O
tras, SP O, O
un, DI O, O
aviso, NC O, O
), Fpt , O
-, Fx , O
y, CC , O
pinchazo, NC O, O
y, CC , O
estocada, NC O, O
que, PR O, O
escupe, VMI O, O
(, Fpa , O
silencio, NC O, O
), Fpt , O
0, Fp , O
,,
Sebastian, NC B-PER, B-PER
Castella, NC I-PER, I-PER
:, Fd , O
estocada, NC O, O
desprendida, AQ O, O
(, Fpa , O
silencio, NC O, O
tras, SP O, O
un, DI O, O
aviso, NC O, O
), Fpt , O
-, Fx , O
y, CC , O
dos, DN O, O
pinchazos, NC O, O
-, Fc , O
estocada, NC O, O
y, CC , O
descabello, NC O, O
(, Fpa , O
silencio, NC O, O
), Fpt , O
0, Fp , O
,,
Javier, VMI B-PER, B-PER
Casta�o, AQ I-PER, I-PER
:, Fd , O
estocada, VMP O, O
chalequera, NC O, O
(, Fpa , O
vuelta, NC O, O
tras, SP O, O
peticion, NC O, O
de, SP O, O
oreja, NC O, O
), Fpt , O
-, Fx , O
y, CC , O
estocada, NC O, O
(, Fpa , O
dos, DN O, O
orejas, NC O, O
), Fpt , O
0, Fp , O
,,
Cuadrillas, NC O, O
:, Fd , O
Domingo, NC B-PER, B-PER
Siro, AQ I-P, I-PER
saludo, VMI O, O
tras, SP O, O
banderillear, VMN O, O
al, SP O, O
tercero, AO O, O
0, Fp , O
,,
La, DA O, O
plaza, NC O, O
casi, RG O, O
se, P0 O, O
lleno, VMI O, O
en, SP O, O
tarde, RG O, O
de, SP O, O
nubes, NC O, O
altas, AQ O, O
y, CC , O
agradable, AQ O, O
temperatura, NC O, O
0, Fp , O
,,
-, Fg , O
,,
DISPOSICION, VMI O, O
PARA, SP O, O
TRIUNFAR, VMN O, O
Un, DI O, O
novillero, NC O, O
y, CC , O
seis, DN O, O
novillos, NC O, O
-, Fc , O
Javier, NC B-PER, B-PER
Casta�o, AQ I-PER, I-PER
y, CC , O
los, DA O, O
del, SP O, O
-, Fe , B-MISC
Torreon, NC I-MISC, I-MISC
-, Fe , I-MISC
-, Fc , O
fueron, VSI O, O
los, DA O, O
verdaderos, AQ O, O
protagonistas, NC O, O
de, SP O, O
la, DA O, O
tarde, NC O, O
0, Fp , O
,,
Estos, DD O, O
por, SP O, O
su, DP O, O
magnifica, AQ O, O
presentacion, NC O, O
y, CC , O
extraordinaria, AQ O, O
condicion, NC O, O
para, SP O, O
ver, VMN O, O
y, CC , O
hacer, VMN O, O
el, DA O, O
toreo, NC O, O
:, Fd , O
una, DI O, O
verdadera, AQ O, O
corrida, NC O, O
de, SP O, O
toros, NC O, O
-, Fc , O
y, CC , O
con, SP O, O
calidad, NC O, O
0, Fp , O
,,
Aquel, DD O, O
-, Fc , O
el, DA O, O
joven, AQ O, O
novillero, NC O, O
-, Fc , O
sobresalio, VMI O, O
por, SP O, O
sus, DP O, O
excelentes, AQ O, O
maneras, NC O, O
y, CC , O
disposicion, NC O, O
para, SP O, O
triunfar, VMN O, O
-, Fc , O
aunque, CS O, O
otras, DI O, O
circunstancias, NC O, O
como, CS O, O
la, DA O, O
espada, NC O, O
lo, PP O, O
impidieron, VMI O, O
a, SP , O
ultima, AO O, O
hora, NC O, O
0, Fp , O
,,
De, SP O, O
todas, DI O, O
las, DA O, O
evoluciones, NC O, O
en, SP O, O
el, DA O, O
ruedo, NC O, O
-, Fc , O
el, DA O, O
publico, NC O, O
siguio, VMI O, O
con, SP O, O
especial, AQ O, O
atencion, NC O, O
las, DA O, O
de, SP O, O
Casta�o, NC B-PER, B-PER
-, Fc , O
por, SP O, O
su, DP O, O
entrega, NC O, O
y, CC , O
arrojo, NC O, O
-, Fc , O
por, SP O, O
el, DA O, O
concepto, NC O, O
de, SP O, O
toreo, NC O, O
que, PR O, O
practica, VMI O, O
-, Fc , O
curvilineo, AQ O, O
y, CC , O
cada, DI O, O
vez, NC O, O
mas, RG O, O
hacia, SP O, O
adentro, RG O, O
-, Fc , O
y, CC , O
por, SP O, O
esa, DD O, O
desmedida, AQ O, O
aficion, NC O, O
que, PR O, O
le, PP O, O
hace, VMI O, O
estar, VMN O, O
permanentemente, RG O, O
presente, AQ O, O
en, SP O, O
el, DA O, O
terreno, NC O, O
del, SP O, O
toro, NC O, O
-, Fc , O
donde, PR O, O
parece, VMI O, O
que, CS O, O
es, VSI O, O
imposible, AQ O, O
pisar, VMN O, O
0, Fp , O
,,
Todo, PI O, O
en, SP O, O
Casta�o, NC B-PER, B-PER
es, VSI O, O
verdad, NC O, O
y, CC , O
emocion, NC O, O
0, Fp , O
,,
Por, SP O, O
eso, PD O, O
interesa, VMI O, O
tanto, RG O, O
y, CC , O
-, Fc , O
sin, SP O, O
duda, NC O, O
-, Fc , O
llegara, VMI O, O
0, Fp , O
,,
Los, DA O, O
lances, NC O, O
y, CC , O
remates, NC O, O
a, SP , O
una, DI O, O
mano, NC O, O
al, SP O, O
primero, AO O, O
de, SP O, O
su, DP O, O
lote, NC O, O
-, Fc , O
sin, SP O, O
rectificar, VMN O, O
un, DI O, O
apice, NC O, O
-, Fc , O
acabaron, VMI O, O
con, SP O, O
la, DA O, O
frialdad, NC O, O
de, SP O, O
la, DA O, O
tarde, RG O, O
0, Fp , O
,,
Pero, CC O, O
para, SP O, O
entonces, RG O, O
se, P0 O, O
habian, VAI O, O
arrastrado, VMP O, O
dos, DN O, O
novillos, NC O, O
0, Fp , O
,,
Luego, RG O, O
el, DA O, O
quite, NC O, O
por, SP O, O
ce�idas, AQ O, O
chicuelinas, NC O, O
-, Fc , O
que, PR O, O
provoco, VMI O, O
la, DA O, O
intervencion, NC O, O
-, Fc , O
brillante, AQ O, O
tambien, RG O, O
-, Fc , O
de, SP O, O
Victor, NC B-PER, B-PER
de, SP I, I-PER
la, DA I, I-PER
Serna, NC I-PE, I-PER
-, Fc , O
por, SP O, O
gaoneras, NC O, O
0, Fp , O
,,
Un, DI O, O
subalterno, NC O, O
de, SP O, O
lujo, NC O, O
en, SP O, O
la, DA O, O
cuadrilla, NC O, O
del, SP O, O
salmantino, NC O, O
-, Fc , O
Domingo, NC B-PER, B-PER
Siro, AQ I-P, I-PER
-, Fc , O
abundo, VMI O, O
en, SP O, O
mejorar, VMN O, O
el, DA O, O
ambiente, NC O, O
con, SP O, O
dos, DN O, O
excelentes, AQ O, O
pares, NC O, O
de, SP O, O
banderillas, NC O, O
0, Fp , O
,,
La, DA O, O
faena, NC O, O
de, SP O, O
muleta, NC O, O
tuvo, VMI O, O
fundamentalmente, RG O, O
mucho, RG O, O
aguante, NC O, O
0, Fp , O
,,
Muy, RG O, O
cruzado, AQ O, O
y, CC , O
echando, VMG O, O
la, DA O, O
muleta, NC O, O
adelante, RG O, O
-, Fc , O
Casta�o, AQ B-PER, B-PER
corrio, VMI O, O
la, DA O, O
mano, NC O, O
con, SP O, O
mucha, DI O, O
firmeza, NC O, O
para, SP O, O
marcar, VMN O, O
el, DA O, O
viaje, NC O, O
largo, AQ O, O
0, Fp , O
,,
Asi, RG O, O
varias, DI O, O
veces, NC O, O
-, Fc , O
tirar, VMN O, O
del, SP O, O
novillo, NC O, O
-, Fc , O
templar, VMN O, O
y, CC , O
ligar, VMN O, O
los, DA O, O
muletazos, NC O, O
-, Fc , O
fueron, VSI O, O
las, DA O, O
caracteristicas, NC O, O
del, SP O, O
conjunto, NC O, O
0, Fp , O
,,
Al, SP O, O
alejarse, VMN O, O
tras, SP O, O
un, DI O, O
remate, NC O, O
de, SP O, O
serie, NC O, O
-, Fc , O
perdiendole, VMG O, O
la, DA O, O
cara, NC O, O
al, SP O, O
animal, NC O, O
-, Fc , O
llego, VMI O, O
una, DI O, O
espectacular, AQ O, O
voltereta, NC O, O
0, Fp , O
,,
Mas, RG O, O
emocion, NC O, O
en, SP O, O
unas, DI O, O
bernadinas, NC O, O
finales, NC O, O
0, Fp , O
,,
Fue, VSI O, O
una, DI O, O
pena, NC O, O
que, PR O, O
la, DA O, O
espada, NC O, O
se, P0 O, O
fuera, VSS O, O
al, SP O, O
sotano, NC O, O
-, Fc , O
porque, CS O, O
hubiera, VAS O, O
cortado, VMP O, O
una, DI O, O
oreja, NC O, O
con, SP O, O
todo, DI O, O
merecimiento, NC O, O
0, Fp , O
,,
Claro, RG O, O
que, PR O, O
el, DA O, O
triunfo, NC O, O
no, RN O, O
se, P0 O, O
hizo, VMI O, O
esperar, VMN O, O
en, SP O, O
el, DA O, O
siguiente, AQ O, O
0, Fp , O
,,
Casta�o, AQ B-PER, B-PER
salio, VMI O, O
otra, DI O, O
vez, NC O, O
arreando, VMG O, O
con, SP O, O
el, DA O, O
