tag1,tag2,tag3
podian, VMI O, O
haber, VAN O, O
obtenido, VMP O, O
informacion, NC O, O
sobre, SP O, O
el, DA O, O
acusado, VMP O, O
a, SP , O
traves, NC O, O
de, SP O, O
la, DA O, O
pagina, NC O, O
CrimeNet, AQ B-MISC, B-MISC
0, Fp , O
,,
Esta, DD O, O
pagina, NC O, O
web, AQ O, O
lleva, VMI O, O
un, DI O, O
mes, NC O, O
de, SP O, O
existencia, NC O, O
-, Fc , O
tiempo, NC O, O
en, SP O, O
el, DA O, O
que, PR O, O
ha, VAI O, O
sido, VSP O, O
visitada, VMP O, O
en, SP O, O
mas, RG O, O
de, SP O, O
un, DI O, O
millon, NC O, O
de, SP O, O
ocasiones, NC O, O
-, Fc , O
y, CC , O
facilita, VMI O, O
informacion, NC O, O
sobre, SP O, O
miles, PN O, O
de, SP O, O
crimenes, NC O, O
y, CC , O
criminales, VMM O, O
ya, RG O, O
enjuiciados, VMP O, O
o, CC , O
aun, RG O, O
perseguidos, VMM O, O
-, Fc , O
datos, NC O, O
que, PR O, O
salen, VMI O, O
de, SP O, O
articulos, NC O, O
de, SP O, O
periodicos, NC O, O
y, CC , O
archivos, NC O, O
judiciales, AQ O, O
0, Fp , O
,,
Por, SP O, O
su, DP O, O
parte, NC O, O
-, Fc , O
el, DA O, O
Abogado, NC B-PER, B-PER
General, AQ I-PER, I-PER
de, SP O, O
Victoria, NC B-LOC, B-LOC
-, Fc , O
Rob, NC B-, B-PER
Hulls, AQ I-PE, I-PER
-, Fc , O
indico, VMI O, O
que, CS O, O
no, RN O, O
hay, VAI O, O
nadie, PI O, O
que, PR O, O
controle, VMS O, O
que, CS O, O
las, DA O, O
informaciones, NC O, O
contenidas, AQ O, O
en, SP O, O
CrimeNet, NC B-MISC, B-MISC
son, VSI O, O
veraces, AQ O, O
0, Fp , O
,,
Hulls, NP B-PE, B-PER
se�alo, VMI O, O
que, CS O, O
en, SP O, O
el, DA O, O
sistema, NC O, O
juridico, AQ O, O
de, SP O, O
la, DA O, O
Commonwealth, NC B-ORG, B-ORG
-, Fc , O
en, SP O, O
el, DA O, O
que, PR O, O
se, P0 O, O
basa, VMI O, O
la, DA O, O
justicia, NC O, O
australiana, AQ O, O
-, Fc , O
es, VSI O, O
fundamental, AQ O, O
que, PR O, O
la, DA O, O
persona, NC O, O
sea, VSS O, O
juzgada, VMP O, O
unicamente, RG O, O
teniendo, VMG O, O
en, SP O, O
cuenta, NC O, O
las, DA O, O
pruebas, NC O, O
presentadas, AQ O, O
ante, SP O, O
el, DA O, O
juez, NC O, O
0, Fp , O
,,
La, DA O, O
citada, AQ O, O
pagina, NC O, O
de, SP O, O
internet, NC O, O
se, P0 O, O
considera, VMI O, O
tambien, RG O, O
la, DA O, O
causa, NC O, O
de, SP O, O
la, DA O, O
conclusion, NC O, O
prematura, AQ O, O
en, SP O, O
un, DI O, O
caso, NC O, O
de, SP O, O
asesinato, NC O, O
juzgado, VMP O, O
recientemente, RG O, O
en, SP O, O
la, DA O, O
ciudad, NC O, O
de, SP O, O
Melbourne, NC B-LOC, B-LOC
-, Fc , O
capital, AQ O, O
del, SP O, O
estado, NC O, O
de, SP O, O
Victoria, NC B-LOC, B-LOC
0, Fp , O
,,
Santander, NC B-LOC, B-LOC
-, Fc , O
25, Z O, O
may, NC O, O
(, Fpa , O
EFE, NC B-, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Izquierda, NC B-ORG, B-ORG
Unida, AQ I-OR, I-ORG
de, SP I, I-ORG
Santander, NC I-ORG, I-ORG
presento, VMI O, O
hoy, RG O, O
su, DP O, O
nuevo, AQ O, O
boletin, NC O, O
trimestral, AQ O, O
-, Fe , O
Ciudad, NC B-MIS, B-MISC
-, Fe , O
-, Fc , O
una, DI O, O
publicacion, NC O, O
de, SP O, O
la, DA O, O
que, PR O, O
se, P0 O, O
distribuiran, VMI O, O
10, Z O, O
ejemplares, NC O, O
preferentemente, RG O, O
en, SP O, O
los, DA O, O
barrios, NC O, O
del, SP O, O
municipio, NC O, O
donde, PR O, O
la, DA O, O
colacion, NC O, O
cuenta, VMI O, O
con, SP O, O
mayor, AQ O, O
respaldo, NC O, O
ciudadano, AQ O, O
0, Fp , O
,,
El, DA O, O
portavoz, NC O, O
del, SP O, O
Consejo, NC B-ORG, B-ORG
Politico, AQ I-ORG, I-ORG
Municipal, AQ I-ORG, I-ORG
de, SP I, I-ORG
IU, NC I, I-ORG
en, SP O, O
Santander, NC B-LOC, B-LOC
-, Fc , O
Ernesto, NC B-PER, B-PER
Gomez, NC I-PE, I-PER
de, SP I, I-PER
la, DA I, I-PER
Hera, NC I-P, I-PER
-, Fc , O
explico, VMI O, O
hoy, RG O, O
en, SP O, O
conferencia, NC O, O
de, SP O, O
prensa, NC O, O
que, PR O, O
este, DD O, O
boletin, NC O, O
persigue, VMI O, O
-, Fc , O
mas, RG O, O
que, CS O, O
informar, VMN O, O
-, Fc , O
abrir, VMN O, O
espacios, NC O, O
de, SP O, O
debate, NC O, O
y, CC , O
servir, VMN O, O
como, CS O, O
-, Fe , O
semilla, NC O, O
de, SP O, O
movilizacion, NC O, O
politica, AQ O, O
-, Fe , O
en, SP O, O
la, DA O, O
ciudad, NC O, O
0, Fp , O
,,
Gomez, NC B-PE, B-PER
de, SP I, I-PER
la, DA I, I-PER
Hera, NC I-P, I-PER
comento, VMI O, O
que, CS O, O
los, DA O, O
contenidos, AQ O, O
de, SP O, O
la, DA O, O
publicacion, NC O, O
-, Fe , O
Ciudad, NC B-MIS, B-MISC
-, Fe , O
responden, VMI O, O
al, SP O, O
programa, NC O, O
que, PR O, O
el, PP O, O
encabezo, VMI O, O
como, CS O, O
candidato, NC O, O
en, SP O, O
las, DA O, O
elecciones, NC O, O
municipales, AQ O, O
de, SP O, O
1999, Z O, O
-, Fc , O
en, SP O, O
las, DA O, O
que, PR O, O
IU, NC B, B-ORG
perdio, VMI O, O
su, DP O, O
representacion, NC O, O
en, SP O, O
el, DA O, O
Ayuntamiento, NC B-ORG, B-ORG
-, Fc , O
y, CC , O
confio, VMI O, O
en, SP O, O
que, CS O, O
su, DP O, O
difusion, NC O, O
sea, VSS O, O
mas, RG O, O
amplia, AQ O, O
una, DI O, O
vez, NC O, O
que, PR O, O
la, DA O, O
coalicion, NC O, O
resuelva, VMS O, O
su, DP O, O
crisis, NC O, O
economica, AQ O, O
0, Fp , O
,,
Por, SP O, O
el, DA O, O
momento, NC O, O
-, Fc , O
-, Fe , O
Ciudad, NC B-MIS, B-MISC
-, Fe , O
sera, VSI O, O
repartida, AQ O, O
de, SP O, O
forma, NC O, O
preferencial, AQ O, O
en, SP O, O
los, DA O, O
barrios, NC O, O
con, SP O, O
mas, RG O, O
electores, NC O, O
de, SP O, O
IU, NC B, B-ORG
-, Fc , O
entre, SP O, O
los, DA O, O
que, PR O, O
el, DA O, O
portavoz, NC O, O
municipal, AQ O, O
de, SP O, O
la, DA O, O
coalicion, NC O, O
cito, VMI O, O
la, DA O, O
ladera, AQ O, O
norte, NC O, O
de, SP O, O
la, DA O, O
calle, NC B-LO, B-LOC
Alta, AQ I-L, I-LOC
-, Fc , O
Cazo�a, NC B-LOC, B-LOC
y, CC , O
la, DA O, O
zona, NC O, O
comprendida, VMP O, O
entre, SP O, O
las, DA O, O
calles, NC O, O
Castilla, NC B-LOC, B-LOC
y, CC , O
Hermida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fe , O
Ciudad, NC B-MIS, B-MISC
-, Fe , O
-, Fc , O
un, DI O, O
boletin, NC O, O
compuesto, AQ O, O
por, SP O, O
dos, DN O, O
folios, NC O, O
plegados, NC O, O
por, SP O, O
la, DA O, O
mitad, NC O, O
-, Fc , O
sale, VMI O, O
a, SP , O
la, DA O, O
calle, NC O, O
en, SP O, O
su, DP O, O
primer, AO O, O
numero, NC O, O
criticando, VMG O, O
las, DA O, O
obras, NC O, O
de, SP O, O
construccion, NC O, O
de, SP O, O
los, DA O, O
aparcamientos, NC O, O
subterraneos, AQ O, O
-, Fc , O
las, DA O, O
molestias, NC O, O
que, PR O, O
estan, VMI O, O
causando, VMG O, O
a, SP , O
los, DA O, O
vecinos, NC O, O
y, CC , O
el, DA O, O
modo, NC O, O
en, SP O, O
que, PR O, O
se, P0 O, O
explotaran, VMI O, O
0, Fp , O
,,
Gomez, VMI B-PE, B-PER
de, SP I, I-PER
la, DA I, I-PER
Hera, NC I-P, I-PER
considera, VMI O, O
que, CS O, O
-, Fe , O
la, DA O, O
politica, NC O, O
del, SP O, O
PP, NC B, B-ORG
de, SP O, O
hacer, VMN O, O
dinero, NC O, O
absolutamente, RG O, O
de, SP O, O
todo, PI O, O
y, CC , O
de, SP O, O
que, CS O, O
ese, DD O, O
dinero, NC O, O
se, P0 O, O
distribuya, VMS O, O
sobre, SP O, O
todo, PI O, O
para, SP O, O
sus, DP O, O
amigos, NC O, O
-, Fe , O
ha, VAI O, O
convertido, VMP O, O
Santander, NC B-LOC, B-LOC
en, SP O, O
-, Fe , O
una, DI O, O
trampa, NC O, O
llena, AQ O, O
de, SP O, O
agujeros, NC O, O
-, Fc , O
cuando, CS O, O
todas, DI O, O
las, DA O, O
ciudades, NC O, O
de, SP O, O
Europa, NC B-LOC, B-LOC
occidental, AQ O, O
estan, VMI O, O
tratando, VMG O, O
de, SP O, O
hacer, VMN O, O
sus, DP O, O
cascos, NC O, O
urbanos, AQ O, O
mas, RG O, O
habitables, AQ O, O
-, Fe , O
0, Fp , O
,,
A, SP , O
su, DP O, O
juicio, NC O, O
-, Fc , O
las, DA O, O
razones, NC O, O
del, SP O, O
Ayuntamiento, NC B-ORG, B-ORG
para, SP O, O
llevar, VMN O, O
adelante, RG O, O
estas, DD O, O
obras, NC O, O
son, VSI O, O
-, Fe , O
crematisticas, AQ O, O
-, Fc , O
mercenarias, AQ O, O
-, Fc , O
pero, CC O, O
no, RN O, O
tienen, VMI O, O
nada, PI O, O
que, PR O, O
ver, VMN O, O
con, SP O, O
el, DA O, O
futuro, NC O, O
de, SP O, O
Santander, NC B-LOC, B-LOC
ni, CC O, O
con, SP O, O
el, DA O, O
bienestar, NC O, O
de, SP O, O
la, DA O, O
inmensa, AQ O, O
mayoria, NC O, O
de, SP O, O
su, DP O, O
poblacion, NC O, O
-, Fe , O
0, Fp , O
,,
EFE, NC B-, B-ORG
-, Fg , O
Cantabria, VMI B-LOC, B-LOC
Francfort, AQ B-LOC, B-LOC
(, Fpa , O
RFA, NP B-, B-LOC
), Fpt , O
-, Fc , O
25, Z O, O
may, NC O, O
(, Fpa , O
EFECOM, NP B-ORG, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
grupo, NC O, O
aleman, AQ O, O
de, SP O, O
telefonia, NC O, O
Deutsche, AQ B-ORG, B-ORG
Telekom, NC I-ORG, I-ORG
ha, VAI O, O
adquirido, VMP O, O
el, DA O, O
50, Z O, O
por, SP O, O
ciento, DN O, O
restante, NC O, O
del, SP O, O
operador, NC O, O
suizo, AQ O, O
de, SP O, O
telecomunicaciones, NC O, O
Multilink, AQ B-ORG, B-ORG
-, Fc , O
que, CS O, O
hasta, SP O, O
ahora, RG O, O
poseia, VMI O, O
France, AQ B-ORG, B-ORG
Telecom, AQ I-ORG, I-ORG
-, Fc , O
y, CC , O
se, P0 O, O
ha, VAI O, O
convertido, VMP O, O
en, SP O, O
su, DP O, O
unico, AQ O, O
propietario, NC O, O
-, Fc , O
informo, VMI O, O
hoy-, AQ O, O
jueves, NC O, O
-, Fc , O
la, DA O, O
compa�ia, NC O, O
germana, AQ O, O
0, Fp , O
,,
Como, CS O, O
contrapartida, NC O, O
-, Fc , O
Deutsche, NC B-ORG, B-ORG
Telekom, NC I-ORG, I-ORG
vendera, VMI O, O
al, SP O, O
consorcio, NC O, O
frances, AQ O, O
su, DP O, O
participacion, NC O, O
del, SP O, O
25, Z O, O
por, SP O, O
ciento, PN O, O
en, SP O, O
el, DA O, O
empresa, NC O, O
mixta, AQ O, O
britanica, AQ O, O
MetroHoldings, NC B-ORG, B-ORG
0, Fp , O
,,
Multilink, NC B-ORG, B-ORG
fue, VSI O, O
creada, AQ O, O
en, SP O, O
1998, Z O, O
y, CC , O
ofrece, VMI O, O
servicios, NC O, O
telefonicos, AQ O, O
y, CC , O
de, SP O, O
transmision, NC O, O
de, SP O, O
datos, NC O, O
en, SP O, O
Suiza, NC B-LO, B-LOC
y, CC , O
el, DA O, O
extranjero, NC O, O
-, Fc , O
ademas, RG O, O
de, SP O, O
tener, VMN O, O
una, DI O, O
red, NC O, O
urbana, AQ O, O
propia, AQ O, O
de, SP O, O
fibra, NC O, O
optica, AQ O, O
0, Fp , O
,,
Deutsche, VMI B-ORG, B-ORG
Telekom, NC I-ORG, I-ORG
califico, VMI O, O
esta, DD O, O
compra, NC O, O
-, Fc , O
cuyo, PR O, O
precio, VMI O, O
no, RN O, O
especifico, VMI O, O
-, Fc , O
como, CS O, O
otro, DI O, O
paso, NC O, O
hacia, SP O, O
su, DP O, O
internacionalizacion, NC O, O
mediante, SP O, O
adquisiciones, NC O, O
mayoritarias, AQ O, O
destinadas, AQ O, O
a, SP , O
tener, VMN O, O
el, DA O, O
control, NC O, O
de, SP O, O
la, DA O, O
direccion, NC O, O
de, SP O, O
esas, DD O, O
empresas, NC O, O
0, Fp , O
,,
Err:510, Fz O, O
,,
Merida, NC B-LOC, B-LOC
-, Fc , O
25, Z O, O
may, NC O, O
(, Fpa , O
EFE, NC B-, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
La, DA O, O
Delegacion, NC B-ORG, B-ORG
de, SP I, I-ORG
la, DA I, I-ORG
Agencia, NC I-ORG, I-ORG
EFE, NC I-, I-ORG
en, SP O, O
Extremadura, NC B-LOC, B-LOC
transmitira, VMI O, O
hoy-, NC O, O
jueves-, AQ O, O
dia, NC O, O
25, Z O, O
-, Fc , O
entre, SP O, O
otras, PI O, O
-, Fc , O
las, DA O, O
siguientes, AQ O, O
informaciones, NC O, O
:, Fd , O
(, Fpa , O
LASA, AQ B-P, B-PER
ZABALA, NC B-PER, B-PER
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
presidente, NC O, O
de, SP O, O
la, DA O, O
Junta, NC B-OR, B-ORG
de, SP I, I-ORG
Extremadura, NC I-ORG, I-ORG
-, Fc , O
Juan, NC B-P, B-PER
Carlos, AQ I-PER, I-PER
Rodriguez, NC I-PER, I-PER
Ibarra, AQ I-PER, I-PER
-, Fc , O
recibira, VMI O, O
en, SP O, O
la, DA O, O
sede, NC O, O
de, SP O, O
la, DA O, O
Presidencia, NC B-ORG, B-ORG
del, SP I-, I-ORG
Gobierno, NC I-ORG, I-ORG
extreme�o, AQ O, O
a, SP , O
familiares, NC O, O
de, SP O, O
varios, PI O, O
de, SP O, O
los, DA O, O
condenados, NC O, O
por, SP O, O
el, DA O, O
proceso, NC O, O
-, Fe , O
Lasa-Zabala, NC B-MISC, B-MISC
-, Fe , O
-, Fc , O
entre, SP O, O
ellos, PP O, O
a, SP , O
Lourdes, NC B-PER, B-PER
Diez, AQ I-P, I-PER
Urraca, NC I-PER, I-PER
-, Fc , O
esposa, VMM O, O
del, SP O, O
ex, NC O, O
gobernador, NC O, O
civil, AQ O, O
de, SP O, O
Guipuzcoa, NC B-LOC, B-LOC
Julen, AQ B-PE, B-PER
Elgorriaga, AQ I-PER, I-PER
-, Fx , O
y, CC , O
a, SP , O
Antonio, VMN B-PER, B-PER
Rodriguez, NC I-PER, I-PER
Galindo, AQ I-PER, I-PER
-, Fc , O
hermano, NC O, O
del, SP O, O
general, AQ O, O
Enrique, NC B-PER, B-PER
Rodriguez, NC I-PER, I-PER
Galindo, AQ I-PER, I-PER
0, Fp , O
,,
(, Fpa , O
con, SP O, O
fotografia, NC O, O
), Fpt , O
(, Fpa , O
PLENO, AQ O, O
ASAMBLEA, NC O, O
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
Pleno, AQ B-OR, B-ORG
de, SP I, I-ORG
la, DA I, I-ORG
Asamblea, NC I-ORG, I-ORG
de, SP I, I-ORG
Extremadura, NC I-ORG, I-ORG
debatira, VMI O, O
-, Fc , O
entre, SP O, O
otras, PI O, O
-, Fc , O
una, DI O, O
proposicion, NC O, O
no, RN O, O
de, SP O, O
ley, NC O, O
de, SP O, O
los, DA O, O
grupos, NC O, O
del, SP O, O
PSOE-NI, NC B-ORG, B-ORG
-, Fc , O
PP, NC B, B-ORG
y, CC , O
Mixto-Diputados, NC B-ORG, B-ORG
de, SP I, I-ORG
IU, NC I, I-ORG
en, SP O, O
la, DA O, O
que, PR O, O
se, P0 O, O
insta, VMI O, O
al, SP O, O
Gobierno, NC B-ORG, B-ORG
central, AQ O, O
a, SP , O
promulgar, VMN O, O
una, DI O, O
Orden, NC B-MI, B-MISC
Ministerial, AQ I-MISC, I-MISC
que, PR O, O
recoja, VMS O, O
la, DA O, O
regionalizacion, NC O, O
de, SP O, O
la, DA O, O
superficie, NC O, O
base, NC O, O
para, SP O, O
el, DA O, O
cultivo, NC O, O
del, SP O, O
maiz, NC O, O
0, Fp , O
,,
(, Fpa , O
EMPRENDEDORES, AQ O, O
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
consejero, NC O, O
de, SP O, O
Economia-, NC B-MISC, B-MISC
Industria., AQ I-MISC, I-MISC
Comercio, NC I-MISC, I-MISC
-, Fc , O
Manuel, AQ B-PER, B-PER
Amigo, NC I-PE, I-PER
-, Fc , O
y, CC , O
los, DA O, O
presidentes, NC O, O
de, SP O, O
Caja, NC B-O, B-ORG
Extremadura, AQ I-ORG, I-ORG
y, CC , O
Caja, NC B-O, B-ORG
Badajoz, AQ I-ORG, I-ORG
-, Fc , O
Jesus, I B-PE, B-PER
Medina, NC I-PER, I-PER
y, CC , O
Jose, NC B-P, B-PER
Manuel, AQ I-PER, I-PER
Sanchez, NC I-PER, I-PER
Rojas, AQ I-PE, I-PER
-, Fc , O
respectivamente, RG O, O
-, Fc , O
suscribiran, VMI O, O
un, DI O, O
convenio, NC O, O
de, SP O, O
colaboracion, NC O, O
para, SP O, O
financiar, VMN O, O
proyectos, NC O, O
empresariales, AQ O, O
de, SP O, O
jovenes, NC O, O
emprendedores, AQ O, O
0, Fp , O
,,
(, Fpa , O
CARLOS, AQ B-PER, B-PER
V, NC , I-PER
-, Fg , O
CONGRESO, NC O, O
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Jaraiz, NC O, O
de, SP O, O
la, DA O, O
Vera, NC B-L, B-LOC
(, Fpa , O
Caceres, NC B-LOC, B-LOC
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
Instituto, NC B-ORG, B-ORG
Historico, AQ I-ORG, I-ORG
-, Fe , I-ORG
Hoffmeyer, NC I-ORG, I-ORG
-, Fe , I-ORG
acogera, VMI O, O
la, DA O, O
inauguracion, NC O, O
y, CC , O
primera, AO O, O
sesion, NC O, O
del, SP O, O
Congreso, NC B-MISC, B-MISC
de, SP I, I-MISC
Historia, NC I-MISC, I-MISC
Moderna, AQ I-MISC, I-MISC
-, Fe , O
Carlos., NC B-MISC, B-MISC
y, CC , I-MISC
el, DA I, I-MISC
fin, NC I-, I-MISC
de, SP I, I-MISC
una, DI I-, I-MISC
epoca., NC I-MIS, I-MISC
1500-1558, Z I-MISC, I-MISC
-, Fe , O
-, Fc , O
que, PR O, O
se, P0 O, O
enmarca, VMI O, O
en, SP O, O
los, DA O, O
actos, NC O, O
conmemorativos, AQ O, O
del, SP O, O
V, NC , B-MISC
Centenario, AQ I-MISC, I-MISC
del, SP O, O
nacimiento, NC O, O
del, SP O, O
emperador, NC O, O
0, Fp , O
,,
Agenda, NC O, O
informativa, AQ O, O
:, Fd , O
-, Fg , O
10:00, Z O, O
h., NC O, O
-, Fg , O
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
presidente, NC O, O
de, SP O, O
la, DA O, O
Junta, NC B-OR, B-ORG
de, SP I, I-ORG
Extremadura, NC I-ORG, I-ORG
-, Fc , O
Juan, NC B-P, B-PER
Carlos, AQ I-PER, I-PER
Rodriguez, NC I-PER, I-PER
Ibarra, AQ I-PER, I-PER
-, Fc , O
recibira, VMI O, O
en, SP O, O
la, DA O, O
sede, NC O, O
de, SP O, O
la, DA O, O
Presidencia, NC B-ORG, B-ORG
del, SP I-, I-ORG
Gobierno, NC I-ORG, I-ORG
extreme�o, AQ O, O
a, SP , O
familiares, NC O, O
de, SP O, O
varios, PI O, O
de, SP O, O
los, DA O, O
condenados, NC O, O
por, SP O, O
el, DA O, O
proceso, NC O, O
-, Fe , O
Lasa-Zabala, NC B-MISC, B-MISC
-, Fe , O
0, Fp , O
,,
10:00, Z O, O
h., NC O, O
-, Fg , O
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
consejero, NC O, O
de, SP O, O
Economia-, NC B-MISC, B-MISC
Industria., AQ I-MISC, I-MISC
Comercio, NC I-MISC, I-MISC
-, Fc , O
Manuel, AQ B-PER, B-PER
Amigo, NC I-PE, I-PER
-, Fc , O
y, CC , O
los, DA O, O
presidentes, NC O, O
de, SP O, O
Caja, NC B-O, B-ORG
Extremadura, AQ I-ORG, I-ORG
y, CC , O
Caja, NC B-O, B-ORG
Badajoz, AQ I-ORG, I-ORG
-, Fc , O
Jesus, I B-OR, B-ORG
Medina, NC I-ORG, I-ORG
y, CC , O
Jose, NC B-P, B-PER
Manuel, AQ I-PER, I-PER
Sanchez, NC I-PER, I-PER
Rojas, AQ I-PE, I-PER
-, Fc , O
respectivamente, RG O, O
-, Fc , O
suscribiran, VMI O, O
un, DI O, O
convenio, NC O, O
de, SP O, O
colaboracion, NC O, O
0, Fp , O
,,
10:00, Z O, O
h., NC O, O
-, Fg , O
Jaraiz, NC B-LOC, B-LOC
de, SP I, I-LOC
la, DA I, I-LOC
Vera, NC I-L, I-LOC
(, Fpa , O
Caceres, NC B-LOC, B-LOC
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Comenzara, VMI O, O
el, DA O, O
Congreso, NC O, O
-, Fe , O
Carlos., NC B-MISC, B-MISC
y, CC , I-MISC
el, DA I, I-MISC
fin, NC I-, I-MISC
de, SP I, I-MISC
una, DI I-, I-MISC
epoca., NC I-MIS, I-MISC
1500-1558, Z I-MISC, I-MISC
-, Fe , O
0, Fp , O
,,
10:00, Z O, O
h., NC O, O
-, Fg , O
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
consejero, NC O, O
de, SP O, O
Vivienda-, NC B-MISC, B-MISC
Urbanismo., AQ I-MISC, I-MISC
Transportes, NC I-MISC, I-MISC
-, Fc , O
Javier, VMI B-PER, B-PER
Corominas, AQ I-PER, I-PER
-, Fc , O
entregara, VMI O, O
94, Z O, O
viviendas, NC O, O
de, SP O, O
regimen, NC O, O
especial, AQ O, O
construidas, AQ O, O
por, SP O, O
el, DA O, O
Grupo, NC B-OR, B-ORG
-, Fe , I-ORG
Magenta, AQ I-ORG, I-ORG
-, Fe , I-ORG
en, SP O, O
-, Fe , O
La, DA B, B-LOC
Corchera, NC I-LOC, I-LOC
-, Fe , O
0, Fp , O
,,
10:30, Z O, O
h., NC O, O
-, Fg , O
Plasencia, NC B-LOC, B-LOC
(, Fpa , O
Caceres, NC B-LOC, B-LOC
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
alcalde, NC O, O
-, Fc , O
Jose, AQ B-P, B-PER
Luis, NC I-P, I-PER
Diez, AQ I-P, I-PER
-, Fc , O
hablara, VMI O, O
sobre, SP O, O
diversas, DI O, O
cuestiones, NC O, O
de, SP O, O
interes, NC O, O
municipal, AQ O, O
0, Fp , O
,,
11:00, Z O, O
h., NC O, O
-, Fg , O
Merida, NC B-LOC, B-LOC
0, Fp , O
,,
-, Fg , O
,,
Se, P0 O, O
celebrara, VMI O, O
una, DI O, O
sesion, NC O, O
del, SP O, O
Pleno, AQ B-MI, B-MISC
de, SP I, I-MISC
la, DA I, I-MISC
Asamblea, NC I-MISC, I-MISC
de, SP I, I-MISC
Extremadura, NC I-MISC, I-MISC
0, Fp , O
,,
12:00, Z O, O
h., NC O, O
-, Fg , O
Montijo, NP B-LOC, B-LOC
(, Fpa , O
Badajoz, NP B-LOC, B-LOC
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
consejero, NC O, O
de, SP O, O
Cultura, NC B-MISC, B-MISC
-, Fc , O
Francisco, AQ B-PER, B-PER
Mu�oz, NC I-PE, I-PER
-, Fc , O
inaugurara, VMI O, O
la, DA O, O
IV, NC B, B-MISC
Feria, VMM I-MI, I-MISC
del, SP I-, I-MISC
Libro, NC I-MI, I-MISC
local, AQ O, O
0, Fp , O
,,
12:00, Z O, O
h., NC O, O
-, Fg , O
Azuaga, NP B-LOC, B-LOC
(, Fpa , O
Badajoz, NP B-LOC, B-LOC
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
Inauguracion, NC O, O
de, SP O, O
la, DA O, O
XIX, AQ B-, B-MISC
Feria, NC I-MI, I-MISC
de, SP I, I-MISC
Muestras, NC I-MISC, I-MISC
de, SP I, I-MISC
la, DA I, I-MISC
Campi�a, NC I-MISC, I-MISC
Sur, AQ I-, I-MISC
de, SP I, I-MISC
